Video,Response
Pair_31,left
Pair_49,right
Pair_35,left
Pair_55,left
Pair_64,right
Pair_12,left
Pair_8,right
Pair_11,left
Pair_62,right
Pair_17,right
Pair_56,right
Pair_37,right
Pair_22,left
Pair_5,left
Pair_40,left
Pair_41,right
Pair_18,left
Pair_1,left
Pair_34,right
Pair_45,left
Pair_65,left
Pair_30,left
Pair_16,right
Pair_29,right
Pair_21,right
Pair_60,right
Pair_7,right
Pair_28,left
Pair_20,right
Pair_9,right
Pair_27,right
Pair_39,left
Pair_61,left
Pair_46,right
Pair_47,left
Pair_24,left
Pair_13,right
Pair_10,right
Pair_58,left
Pair_4,left
Pair_53,right
Pair_38,right
Pair_50,left
Pair_57,right
Pair_19,left
Pair_43,right
Pair_14,right
Pair_63,right
Pair_3,right
Pair_54,left
Pair_33,right
Pair_36,left
Pair_42,right
Pair_66,right
Pair_59,left
Pair_15,left
Pair_48,right
Pair_23,right
Pair_51,left
Pair_26,right
Pair_25,left
Pair_6,right
Pair_44,left
Pair_52,right
Pair_32,left
Pair_2,right
