Video,Response
Pair_8,left
Pair_59,right
Pair_50,left
Pair_5,right
Pair_61,left
Pair_58,left
Pair_23,left
Pair_66,left
Pair_18,right
Pair_2,right
Pair_20,left
Pair_25,left
Pair_43,right
Pair_24,left
Pair_56,right
Pair_48,right
Pair_62,right
Pair_52,left
Pair_47,left
Pair_34,right
Pair_12,right
Pair_30,left
Pair_60,right
Pair_46,right
Pair_16,left
Pair_14,right
Pair_26,left
Pair_53,right
Pair_6,left
Pair_33,right
Pair_32,right
Pair_36,left
Pair_28,right
Pair_3,left
Pair_54,right
Pair_37,right
Pair_42,left
Pair_4,right
Pair_57,right
Pair_31,right
Pair_29,left
Pair_13,right
Pair_41,right
Pair_22,left
Pair_9,right
Pair_51,right
Pair_39,left
Pair_17,left
Pair_21,left
Pair_40,right
Pair_38,right
Pair_15,right
Pair_10,left
Pair_55,left
Pair_1,right
Pair_65,left
Pair_35,left
Pair_63,left
Pair_44,left
Pair_64,right
Pair_19,left
Pair_45,right
Pair_49,right
Pair_7,right
Pair_27,right
Pair_11,left
