Video,Response
Pair_62,left
Pair_33,right
Pair_12,left
Pair_39,left
Pair_14,left
Pair_65,right
Pair_15,right
Pair_16,left
Pair_56,right
Pair_1,left
Pair_7,left
Pair_46,left
Pair_40,left
Pair_8,right
Pair_19,left
Pair_59,left
Pair_18,right
Pair_61,left
Pair_9,right
Pair_25,left
Pair_35,right
Pair_52,right
Pair_6,right
Pair_55,left
Pair_45,right
Pair_66,left
Pair_41,right
Pair_31,left
Pair_21,left
Pair_36,left
Pair_10,right
Pair_3,left
Pair_27,right
Pair_20,right
Pair_42,left
Pair_50,right
Pair_49,right
Pair_43,left
Pair_54,right
Pair_58,left
Pair_44,right
Pair_63,right
Pair_28,right
Pair_38,left
Pair_64,right
Pair_29,left
Pair_13,right
Pair_34,right
Pair_4,left
Pair_30,right
Pair_32,left
Pair_2,right
Pair_24,right
Pair_53,left
Pair_17,right
Pair_57,left
Pair_48,left
Pair_11,left
Pair_51,left
Pair_60,right
Pair_23,left
Pair_26,left
Pair_37,left
Pair_47,right
Pair_22,left
Pair_5,left
