Video,Response
Pair_42,left
Pair_58,right
Pair_21,left
Pair_25,left
Pair_17,left
Pair_53,left
Pair_28,left
Pair_18,left
Pair_55,left
Pair_19,right
Pair_32,right
Pair_51,right
Pair_23,right
Pair_36,left
Pair_66,right
Pair_41,right
Pair_5,right
Pair_2,right
Pair_34,right
Pair_39,left
Pair_56,right
Pair_30,right
Pair_3,right
Pair_52,right
Pair_31,left
Pair_46,right
Pair_13,left
Pair_6,right
Pair_59,left
Pair_33,left
Pair_50,left
Pair_9,left
Pair_24,right
Pair_57,left
Pair_15,right
Pair_62,left
Pair_47,right
Pair_40,left
Pair_38,left
Pair_7,left
Pair_37,left
Pair_20,left
Pair_27,left
Pair_4,left
Pair_61,left
Pair_60,left
Pair_14,right
Pair_8,left
Pair_16,right
Pair_65,right
Pair_1,left
Pair_44,right
Pair_48,right
Pair_49,right
Pair_64,right
Pair_22,left
Pair_45,right
Pair_11,left
Pair_10,left
Pair_12,right
Pair_35,left
Pair_26,left
Pair_43,left
Pair_29,left
Pair_54,right
Pair_63,right
