Video,Response
Pair_46,right
Pair_29,left
Pair_53,right
Pair_13,left
Pair_35,left
Pair_28,right
Pair_21,left
Pair_12,right
Pair_7,right
Pair_56,right
Pair_40,left
Pair_25,right
Pair_18,left
Pair_44,right
Pair_16,left
Pair_8,right
Pair_59,right
Pair_61,right
Pair_60,left
Pair_64,left
Pair_24,left
Pair_42,left
Pair_54,right
Pair_27,left
Pair_5,left
Pair_43,right
Pair_3,right
Pair_47,left
Pair_65,right
Pair_36,right
Pair_26,right
Pair_52,left
Pair_41,left
Pair_34,right
Pair_9,left
Pair_55,right
Pair_62,right
Pair_11,left
Pair_19,right
Pair_50,right
Pair_57,right
Pair_20,left
Pair_14,right
Pair_48,right
Pair_58,left
Pair_15,right
Pair_2,right
Pair_39,left
Pair_6,right
Pair_4,right
Pair_22,left
Pair_66,left
Pair_31,right
Pair_49,right
Pair_1,right
Pair_38,right
Pair_10,left
Pair_37,left
Pair_51,right
Pair_32,left
Pair_23,left
Pair_30,right
Pair_33,right
Pair_63,left
Pair_17,right
Pair_45,left
