Video,Response
Pair_12,right
Pair_35,left
Pair_17,left
Pair_13,left
Pair_36,right
Pair_62,right
Pair_32,right
Pair_39,right
Pair_5,right
Pair_3,left
Pair_9,right
Pair_28,right
Pair_10,left
Pair_20,left
Pair_24,left
Pair_48,left
Pair_50,right
Pair_47,right
Pair_60,left
Pair_23,left
Pair_59,left
Pair_61,right
Pair_63,right
Pair_49,right
Pair_46,left
Pair_37,right
Pair_58,left
Pair_6,left
Pair_44,right
Pair_21,left
Pair_56,right
Pair_31,right
Pair_29,right
Pair_57,left
Pair_42,right
Pair_26,left
Pair_2,left
Pair_4,left
Pair_22,right
Pair_64,left
Pair_19,left
Pair_51,left
Pair_45,right
Pair_25,left
Pair_55,left
Pair_52,right
Pair_33,right
Pair_30,left
Pair_16,left
Pair_65,left
Pair_1,left
Pair_15,right
Pair_8,right
Pair_27,left
Pair_54,right
Pair_53,left
Pair_34,right
Pair_14,left
Pair_43,left
Pair_41,right
Pair_18,right
Pair_38,left
Pair_11,right
Pair_66,right
Pair_7,right
Pair_40,left
