Video,Response
Pair_33,right
Pair_28,left
Pair_61,left
Pair_50,right
Pair_11,right
Pair_56,left
Pair_3,right
Pair_9,left
Pair_60,right
Pair_17,left
Pair_39,right
Pair_26,left
Pair_20,right
Pair_10,left
Pair_2,right
Pair_46,right
Pair_43,left
Pair_59,right
Pair_52,left
Pair_42,right
Pair_34,left
Pair_55,left
Pair_57,right
Pair_54,left
Pair_30,left
Pair_27,right
Pair_29,left
Pair_13,right
Pair_45,right
Pair_8,right
Pair_41,left
Pair_19,right
Pair_63,left
Pair_44,right
Pair_58,right
Pair_16,left
Pair_22,right
Pair_21,left
Pair_38,right
Pair_62,left
Pair_7,left
Pair_35,right
Pair_66,right
Pair_23,left
Pair_48,right
Pair_1,left
Pair_12,left
Pair_65,left
Pair_6,right
Pair_32,right
Pair_25,right
Pair_15,left
Pair_4,left
Pair_18,left
Pair_51,right
Pair_36,left
Pair_14,right
Pair_64,right
Pair_40,left
Pair_5,right
Pair_53,left
Pair_24,right
Pair_47,left
Pair_31,right
Pair_49,right
Pair_37,left
