Video,Response
Pair_48,right
Pair_63,left
Pair_31,right
Pair_65,right
Pair_28,right
Pair_23,left
Pair_22,left
Pair_5,left
Pair_14,left
Pair_38,right
Pair_39,left
Pair_7,right
Pair_25,right
Pair_61,right
Pair_46,left
Pair_1,left
Pair_24,right
Pair_41,right
Pair_12,left
Pair_51,right
Pair_55,right
Pair_3,left
Pair_33,right
Pair_56,left
Pair_66,left
Pair_42,right
Pair_11,right
Pair_35,left
Pair_27,left
Pair_32,left
Pair_30,right
Pair_10,left
Pair_20,left
Pair_9,left
Pair_37,right
Pair_62,left
Pair_47,left
Pair_54,left
Pair_43,left
Pair_6,left
Pair_34,right
Pair_64,left
Pair_29,left
Pair_49,right
Pair_52,left
Pair_16,right
Pair_13,left
Pair_4,right
Pair_50,left
Pair_15,left
Pair_59,left
Pair_17,left
Pair_36,right
Pair_21,right
Pair_60,right
Pair_19,left
Pair_44,right
Pair_53,right
Pair_58,right
Pair_26,left
Pair_2,left
Pair_45,right
Pair_8,left
Pair_40,right
Pair_18,left
Pair_57,left
