Video,Response
Pair_61,left
Pair_8,left
Pair_30,left
Pair_56,right
Pair_53,right
Pair_18,right
Pair_47,right
Pair_10,left
Pair_40,right
Pair_19,right
Pair_51,left
Pair_16,right
Pair_15,left
Pair_35,left
Pair_11,left
Pair_48,left
Pair_42,left
Pair_49,left
Pair_24,left
Pair_43,right
Pair_64,right
Pair_32,left
Pair_41,right
Pair_39,right
Pair_4,left
Pair_54,right
Pair_1,right
Pair_46,left
Pair_59,right
Pair_28,right
Pair_60,left
Pair_38,left
Pair_13,left
Pair_25,right
Pair_2,left
Pair_62,left
Pair_9,left
Pair_58,right
Pair_65,left
Pair_44,right
Pair_21,left
Pair_52,left
Pair_20,right
Pair_50,right
Pair_37,right
Pair_55,left
Pair_12,right
Pair_29,right
Pair_45,right
Pair_26,left
Pair_33,left
Pair_36,right
Pair_27,right
Pair_7,left
Pair_22,left
Pair_63,left
Pair_66,right
Pair_23,left
Pair_14,right
Pair_34,left
Pair_31,left
Pair_57,left
Pair_6,left
Pair_3,left
Pair_17,right
Pair_5,right
