Video,Response
Pair_9,right
Pair_26,right
Pair_28,left
Pair_22,left
Pair_38,right
Pair_36,left
Pair_10,left
Pair_51,left
Pair_58,right
Pair_18,right
Pair_63,left
Pair_42,right
Pair_45,right
Pair_3,left
Pair_55,right
Pair_17,right
Pair_60,right
Pair_5,left
Pair_66,right
Pair_40,right
Pair_27,right
Pair_4,left
Pair_13,right
Pair_15,right
Pair_8,left
Pair_20,right
Pair_43,right
Pair_23,right
Pair_47,right
Pair_50,right
Pair_41,right
Pair_65,right
Pair_44,right
Pair_48,right
Pair_39,right
Pair_6,left
Pair_12,left
Pair_59,left
Pair_34,right
Pair_53,right
Pair_21,left
Pair_33,left
Pair_46,right
Pair_61,left
Pair_57,right
Pair_2,left
Pair_35,left
Pair_31,right
Pair_25,left
Pair_64,right
Pair_16,left
Pair_14,right
Pair_32,right
Pair_37,right
Pair_11,left
Pair_29,left
Pair_19,right
Pair_49,right
Pair_62,left
Pair_54,left
Pair_30,left
Pair_1,right
Pair_52,left
Pair_7,right
Pair_24,left
Pair_56,right
