Video,Response
Pair_10,right
Pair_49,right
Pair_18,left
Pair_24,right
Pair_25,right
Pair_7,left
Pair_14,right
Pair_63,right
Pair_32,left
Pair_40,right
Pair_21,left
Pair_33,left
Pair_51,right
Pair_47,right
Pair_11,left
Pair_60,left
Pair_46,left
Pair_62,right
Pair_15,right
Pair_38,left
Pair_4,right
Pair_3,right
Pair_59,left
Pair_37,left
Pair_57,right
Pair_42,left
Pair_12,right
Pair_66,right
Pair_65,left
Pair_41,right
Pair_50,left
Pair_54,right
Pair_29,right
Pair_53,right
Pair_43,right
Pair_28,left
Pair_64,right
Pair_61,right
Pair_56,right
Pair_34,left
Pair_2,left
Pair_17,right
Pair_44,right
Pair_8,left
Pair_5,left
Pair_45,left
Pair_55,left
Pair_39,right
Pair_19,right
Pair_22,right
Pair_52,left
Pair_26,right
Pair_13,right
Pair_58,left
Pair_48,right
Pair_20,left
Pair_36,left
Pair_27,left
Pair_31,left
Pair_35,right
Pair_9,right
Pair_6,right
Pair_30,left
Pair_23,left
Pair_16,left
Pair_1,left
