Video,Response
Pair_31,left
Pair_6,left
Pair_23,right
Pair_44,left
Pair_60,left
Pair_33,left
Pair_35,left
Pair_57,left
Pair_9,right
Pair_56,right
Pair_26,right
Pair_15,right
Pair_50,right
Pair_19,left
Pair_58,right
Pair_39,left
Pair_22,right
Pair_63,left
Pair_32,right
Pair_51,left
Pair_64,left
Pair_21,right
Pair_47,right
Pair_41,right
Pair_62,left
Pair_42,right
Pair_45,left
Pair_1,right
Pair_40,left
Pair_24,right
Pair_54,right
Pair_38,right
Pair_65,left
Pair_13,right
Pair_11,left
Pair_28,right
Pair_8,left
Pair_43,right
Pair_61,left
Pair_48,right
Pair_7,left
Pair_2,left
Pair_25,right
Pair_3,left
Pair_37,left
Pair_27,right
Pair_30,left
Pair_53,right
Pair_59,left
Pair_36,right
Pair_5,left
Pair_55,right
Pair_52,right
Pair_20,right
Pair_4,right
Pair_10,left
Pair_34,right
Pair_18,left
Pair_16,left
Pair_49,left
Pair_14,right
Pair_46,left
Pair_12,right
Pair_17,right
Pair_29,right
Pair_66,right
