Video,Response
Pair_56,right
Pair_13,right
Pair_66,right
Pair_44,right
Pair_29,left
Pair_2,left
Pair_4,left
Pair_59,right
Pair_62,left
Pair_5,right
Pair_51,left
Pair_17,right
Pair_16,right
Pair_50,right
Pair_34,left
Pair_37,left
Pair_58,right
Pair_41,left
Pair_27,right
Pair_1,right
Pair_57,left
Pair_26,right
Pair_3,right
Pair_45,left
Pair_43,right
Pair_15,right
Pair_6,left
Pair_9,right
Pair_55,left
Pair_11,right
Pair_20,left
Pair_32,right
Pair_25,right
Pair_8,right
Pair_38,right
Pair_53,right
Pair_10,left
Pair_35,right
Pair_18,left
Pair_39,right
Pair_54,right
Pair_24,left
Pair_7,right
Pair_12,right
Pair_60,right
Pair_64,left
Pair_52,right
Pair_65,right
Pair_63,right
Pair_48,left
Pair_30,left
Pair_61,right
Pair_36,right
Pair_14,right
Pair_28,left
Pair_40,right
Pair_19,left
Pair_33,right
Pair_42,right
Pair_46,left
Pair_22,left
Pair_49,left
Pair_23,right
Pair_31,left
Pair_21,right
Pair_47,left
