Video,Response
Pair_55,right
Pair_39,left
Pair_10,right
Pair_47,left
Pair_34,left
Pair_57,left
Pair_19,left
Pair_61,left
Pair_41,right
Pair_43,right
Pair_62,right
Pair_20,left
Pair_24,right
Pair_5,right
Pair_25,right
Pair_49,right
Pair_18,right
Pair_2,left
Pair_65,right
Pair_38,left
Pair_27,left
Pair_14,left
Pair_22,right
Pair_36,right
Pair_6,right
Pair_40,left
Pair_7,left
Pair_66,right
Pair_53,right
Pair_42,left
Pair_9,left
Pair_4,left
Pair_30,left
Pair_50,right
Pair_35,right
Pair_51,right
Pair_52,left
Pair_63,right
Pair_45,left
Pair_37,left
Pair_17,right
Pair_3,left
Pair_33,right
Pair_46,right
Pair_28,right
Pair_64,left
Pair_56,left
Pair_44,left
Pair_58,left
Pair_8,left
Pair_23,left
Pair_13,right
Pair_15,left
Pair_31,right
Pair_60,right
Pair_59,right
Pair_21,left
Pair_54,right
Pair_32,right
Pair_16,right
Pair_26,left
Pair_11,left
Pair_12,right
Pair_48,right
Pair_1,right
Pair_29,left
