Video,Response
Pair_60,left
Pair_27,right
Pair_34,left
Pair_43,right
Pair_56,left
Pair_64,right
Pair_28,left
Pair_29,right
Pair_65,right
Pair_25,left
Pair_18,left
Pair_20,left
Pair_26,left
Pair_12,left
Pair_16,left
Pair_3,left
Pair_33,right
Pair_6,left
Pair_54,left
Pair_42,left
Pair_61,right
Pair_23,right
Pair_47,right
Pair_15,left
Pair_31,right
Pair_8,left
Pair_50,left
Pair_44,right
Pair_9,left
Pair_57,left
Pair_48,left
Pair_41,right
Pair_49,right
Pair_22,left
Pair_46,right
Pair_1,right
Pair_4,left
Pair_14,right
Pair_5,right
Pair_13,left
Pair_21,right
Pair_53,right
Pair_24,left
Pair_52,right
Pair_51,right
Pair_39,right
Pair_17,left
Pair_37,left
Pair_36,right
Pair_19,left
Pair_11,left
Pair_66,right
Pair_2,left
Pair_45,right
Pair_7,right
Pair_32,left
Pair_35,right
Pair_59,left
Pair_55,left
Pair_63,right
Pair_58,right
Pair_40,left
Pair_62,left
Pair_30,right
Pair_10,left
Pair_38,left
