Video,Response
Pair_31,right
Pair_23,left
Pair_17,right
Pair_10,right
Pair_36,left
Pair_9,left
Pair_4,right
Pair_26,right
Pair_15,left
Pair_8,right
Pair_11,left
Pair_52,right
Pair_41,right
Pair_40,right
Pair_1,left
Pair_21,left
Pair_66,right
Pair_48,left
Pair_64,right
Pair_25,right
Pair_35,left
Pair_49,right
Pair_5,left
Pair_61,right
Pair_3,left
Pair_42,left
Pair_18,left
Pair_34,right
Pair_63,right
Pair_37,left
Pair_60,right
Pair_45,left
Pair_38,right
Pair_28,left
Pair_53,left
Pair_56,right
Pair_20,left
Pair_32,right
Pair_54,right
Pair_24,right
Pair_47,left
Pair_2,right
Pair_62,right
Pair_30,left
Pair_6,left
Pair_19,left
Pair_27,left
Pair_59,right
Pair_16,left
Pair_7,right
Pair_55,right
Pair_14,right
Pair_43,left
Pair_39,left
Pair_22,right
Pair_29,right
Pair_12,left
Pair_57,right
Pair_50,left
Pair_65,right
Pair_44,right
Pair_13,left
Pair_58,right
Pair_51,right
Pair_46,right
Pair_33,left
