Participant_x,Segment_x,Participant_y,Segment_y,Left,Right,HeartBeat,Stimuli_Seconds,Peaks_Idx,Peaks_Seconds,ID
2,5,7,80,2,7,7,"[0.58789062 1.30371094 2.02392578 2.76513672 3.49365234 4.19433594
 4.90771484 5.62402344 6.35546875 7.05322266 7.71826172 8.38574219
 9.05126953 9.72021484]","[165044 166510 167985 169503 170995 172430 173891 175358 176856 178285
 179647 181014 182377 183747]","[80.58789062 81.30371094 82.02392578 82.76513672 83.49365234 84.19433594
 84.90771484 85.62402344 86.35546875 87.05322266 87.71826172 88.38574219
 89.05126953 89.72021484]",Pair_16
2,10,9,20,2,9,9,"[0.72851562 1.71777344 2.68652344 3.60400391 4.48681641 5.37988281
 6.28613281 7.18505859 8.04296875 8.96582031 9.95849609]",[42452 44478 46462 48341 50149 51978 53834 55675 57432 59322 61355],"[20.72851562 21.71777344 22.68652344 23.60400391 24.48681641 25.37988281
 26.28613281 27.18505859 28.04296875 28.96582031 29.95849609]",Pair_17
2,45,10,55,10,2,2,"[0.70605469 1.56494141 2.47412109 3.34912109 4.11279297 4.83984375
 5.57324219 6.37060547 7.28808594 8.28125    9.23681641]","[ 93606  95365  97227  99019 100583 102072 103574 105207 107086 109120
 111077]","[45.70605469 46.56494141 47.47412109 48.34912109 49.11279297 49.83984375
 50.57324219 51.37060547 52.28808594 53.28125    54.23681641]",Pair_18
2,35,11,110,2,11,2,"[0.15136719 0.99951172 1.77880859 2.51660156 3.25634766 4.06542969
 4.95166016 5.88330078 6.80224609 7.61669922 8.38769531 9.14648438
 9.90332031]","[71990 73727 75323 76834 78349 80006 81821 83729 85611 87279 88858 90412
 91962]","[35.15136719 35.99951172 36.77880859 37.51660156 38.25634766 39.06542969
 39.95166016 40.88330078 41.80224609 42.61669922 43.38769531 44.14648438
 44.90332031]",Pair_19
2,95,12,100,2,12,2,"[0.83496094 1.76464844 2.69824219 3.57226562 4.3671875  5.14550781
 5.95410156 6.828125   7.77490234 8.76074219 9.66796875]","[196270 198174 200086 201876 203504 205098 206754 208544 210483 212502
 214360]","[ 95.83496094  96.76464844  97.69824219  98.57226562  99.3671875
 100.14550781 100.95410156 101.828125   102.77490234 103.76074219
 104.66796875]",Pair_20
2,85,13,25,13,2,13,"[0.65039062 1.69921875 2.7421875  3.74365234 4.82861328 5.87158203
 6.8203125  7.69482422 8.58886719 9.63964844]",[52532 54680 56816 58867 61089 63225 65168 66959 68790 70942],"[25.65039062 26.69921875 27.7421875  28.74365234 29.82861328 30.87158203
 31.8203125  32.69482422 33.58886719 34.63964844]",Pair_21
3,0,4,60,4,3,3,"[0.87744141 2.06445312 3.17333984 4.13623047 5.27441406 6.48193359
 7.66748047 8.80859375 9.91699219]",[ 1797  4228  6499  8471 10802 13275 15703 18040 20310],"[0.87744141 2.06445312 3.17333984 4.13623047 5.27441406 6.48193359
 7.66748047 8.80859375 9.91699219]",Pair_22
3,70,5,70,5,3,3,"[0.23339844 1.42529297 2.63378906 3.83544922 4.9921875  6.1328125
 7.31005859 8.49902344 9.66259766]",[143838 146279 148754 151215 153584 155920 158331 160766 163149],"[70.23339844 71.42529297 72.63378906 73.83544922 74.9921875  76.1328125
 77.31005859 78.49902344 79.66259766]",Pair_23
3,110,6,90,3,6,6,"[0.08935547 1.20947266 2.22314453 3.26513672 4.35205078 5.46826172
 6.53710938 7.67626953 8.8359375  9.9921875 ]",[184503 186797 188873 191007 193233 195519 197708 200041 202416 204784],"[90.08935547 91.20947266 92.22314453 93.26513672 94.35205078 95.46826172
 96.53710938 97.67626953 98.8359375  99.9921875 ]",Pair_24
3,30,7,40,3,7,7,"[0.22900391 0.92041016 1.61425781 2.31933594 3.03027344 3.73925781
 4.41894531 5.11376953 5.81982422 6.52392578 7.21875    7.88964844
 8.57275391 9.25244141 9.9296875 ]","[ 82389  83805  85226  86670  88126  89578  90970  92393  93839  95281
  96704  98078  99477 100869 102256]","[40.22900391 40.92041016 41.61425781 42.31933594 43.03027344 43.73925781
 44.41894531 45.11376953 45.81982422 46.52392578 47.21875    47.88964844
 48.57275391 49.25244141 49.9296875 ]",Pair_25
